Igallta.SeURa.0	Igallta	Se-U-Ra	Se-U-Ra	79.82599639892578	94.82599639892578	信仰の剣『生』	平川の剣『士』	夜明の剣『靈』	断罪の剣『神』
ClockParadox.WyvernP.0	Clock Paradox	WyvernP	汉堡	114.4280014038086	142.28500366210938	Barbarianerman vs. Alloces	Barbarianerman vs. Alloces	Barbarianerman vs. Alloces	
Chronologika.Hundotte.0	Chronologika	Hundotte	幽灵星	62.7599983215332	84.0	TimiTini	XMT小咩兔	Ctymax vs. Barbarianerman	
NickofTime.P4koo.0	Nick of Time	P4koo	青鸟	68.5999984741211	83.5999984741211	晨 vs. XMT小咩兔	晨 vs. XMT小咩兔	NerSAN	
Chronomia.Lime.0	Chronomia	Lime	inukoro	70.38700103759766	87.75299835205078	Pcat	Rikko	時の希 & 百九十八	
ChronosCollapseLaCampanella.SunsetRay.0	Chronos Collapse - La Campanella	SunsetRay	老张	12.21399974822998	30.033000946044922	Pcat『Scatter』	阿爽『Destroy』	NerSAN vs. 阿爽 『Collapse』	
Rrharil.TeamGrimoire.0	Rrhar'il	Team Grimoire	犀牛坨动画工坊	84.62200164794922	99.7969970703125	RDRT -p 19:08:31	RDRT -p 20:02:21	RDRT -p 20:08:31	RWND -p 16493:62786:92551
CraveWave.LandRoot.0	Crave Wave	LandRoot	笔记RE	95.0	110.0	Likey	Likey	Likey feat. 198	
TheChariotREVIIVAL.Attoclef.0	The Chariot ~REVIIVAL~	Attoclef	翠冷兮	80.83999633789062	102.13500213623047	M3d1uM	Alloces	Ctymax drives in BlindForest	
Luminescence.米虾Fomiki初云CLoudie.0	Luminescence	米虾Fomiki & 初云CLoudie	子狼	106.30400085449219	130.4340057373047	XMT小咩兔	XMT小咩兔	Pcat & 百九十八	
Retribution.nmyKryexe.0	Retribution	nm-y & Kry.exe	NerSAN	102.31500244140625	122.5260009765625	NerSAN	NerSAN	Ner as "SPΔDE"	
DESTRUCTION321.Normal1zervsBrokenNerdz.0	DESTRUCTION 3,2,1	Normal1zer vs. Broken Nerdz	rN	105.31800079345703	123.96099853515625	{Demolition,Devastation,Destruction}	{Devastation,Destruction}	{Destruction}	∅
DistortedFate.Sakuzyo.0	Distorted Fate	Sakuzyo	knife美工刀	99.4000015258789	119.4000015258789	De Fiance	Doubt Ful	Divination Fortune	unDefined Future
Doppelganger.LeaF.0	Doppelganger	LeaF	海产	3.869999885559082	16.61400032043457	Lumiere	Lumiere	Gausbon	
もぺもぺ.LeaF.0	もぺもぺ	LeaF	cycat	7.199999809265137	21.0	阿爽 fixed by Barbarinerman	阿爽 fixed by Barbarinerman	阿爽	阿爽
MARENOL.LeaF.0	MARENOL	LeaF	喵n葵	17.139999389648438	32.56999969482422	H.C.C. fixed by Barbarinerman	H.C.C. fixed by Barbarinerman	百九十八	
萤火虫の怨.闫东炜.0	萤火虫の怨	闫东炜	L-sp4	102.0	113.4000015258789	阿爽 & 百九十八	阿爽 & 百九十八	阿爽 & 百九十八	
万吨匿名信.闫东炜.0	万吨匿名信	闫东炜	IvyTowers	120.0	136.0	猫の信 & 百九十八	猫の信 & 百九十八	猫の信 & 百九十八	
风屿.闫东炜.0	风屿	闫东炜	cycats	120.0	142.5800018310547	Arenn Saki vs. Catcats vs. 百九十八	Arenn Saki vs. Catcats vs. 百九十八	Arenn Saki vs. Catcats vs. 百九十八	JKy
dBdoll.YUESTEVENuen.0	dB doll	YUE.STEVEN/uen	何呵	50.619998931884766	68.75	阿爽 fixed by Barbarianerman	阿爽 fixed by Barbarianerman	阿爽	NerSAN & 百九十八
Dash.小红Akane李祥辉.0	Dash	小红Akane，李祥晖	艾是Abby	60.03499984741211	76.87200164794922	阿爽 fixed by Barbarianerman	阿爽 fixed by Barbarianerman	JKy	
云女孩.符白牙SiYFics.0	云女孩	符白牙/SiYFics	御坂果子	26.31999969482422	51.09000015258789	Cloud Catcats	Cloud Catcats	云正太	
DropIt.Asuka.0	Drop It	Asuka	TNiK	60.95000076293945	93.33000183105469	Drop Catcats	Drop Catcats	NerSAN & 百九十八	
RIPPER.Friedwav.0	RIPPER	Friedwav	何呵	107.19999694824219	132.8000030517578	撕裂者『無極』 fixed by 晨	撕裂者『無極』 fixed by 晨	撕裂者『Alloces vs. Shin』	
Aphasia.闫东炜.0	Aphasia	闫东炜	笔记RE	82.96700286865234	97.96700286865234	百九十八	百九十八	百九十八	
开心病.闫东炜.0	开心病	闫东炜	昔璃	31.141000747680664	42.4900016784668	HaraKuma	HaraKuma	Barbarianerman feat. 晨	
華灯爱.闫东炜.0	華灯爱	闫东炜	IvyTowers	82.0	98.0	HaraKuma	HaraKuma	Barbarianerman	
FindMe.Kforest.0	Find_Me	K-forest	YuKiMuMa	78.76000213623047	93.76000213623047	Find_Ctymax	Find_Ctymax	Find_Ctymax fixed by 百九十八	
Sein.朔Apo11oprogramvsお月さま交響曲ftkuroa荒巻.0	Sein	朔(Apo11o program vs. お月さま交響曲) ft. kuroa*×荒巻	hideo	37.737998962402344	52.1870002746582	A.S.H	A.S.H	A.S.H&晨	
狂喜蘭舞.LeaF.0	狂喜蘭舞	LeaF	DoublePian	61.560001373291016	79.30000305175781	Catcats a.k.a. 無極 vs. H.C.C. fixed by 晨	Catcats a.k.a. 無極 vs. H.C.C. fixed by Pcat	晨	Catcats a.k.a. 無極 vs. H.C.C. fixed by 野从&晨
